call_id,selected_domain,raw_domain,gender,accent,duration_seconds,duration_minutes,is_over_5_minutes,audio_path
APPTEK_BANKING_0001,banking,banking,male,en-IE,578.853,9.65,True,data/processed/apptek_selected_domains/audio/APPTEK_BANKING_0001.wav
APPTEK_BANKING_0002,banking,banking,male,en-IE,578.853,9.65,True,data/processed/apptek_selected_domains/audio/APPTEK_BANKING_0002.wav
APPTEK_BANKING_0003,banking,banking,male,en-IE,780.0,13.0,True,data/processed/apptek_selected_domains/audio/APPTEK_BANKING_0003.wav
APPTEK_BANKING_0004,banking,banking,male,en-IE,780.0,13.0,True,data/processed/apptek_selected_domains/audio/APPTEK_BANKING_0004.wav
APPTEK_BANKING_0005,banking,banking,male,en-IE,880.626,14.68,True,data/processed/apptek_selected_domains/audio/APPTEK_BANKING_0005.wav
APPTEK_BANKING_0006,banking,banking,male,en-IE,880.626,14.68,True,data/processed/apptek_selected_domains/audio/APPTEK_BANKING_0006.wav
APPTEK_BANKING_0007,banking,banking,female,en-IE,606.499,10.11,True,data/processed/apptek_selected_domains/audio/APPTEK_BANKING_0007.wav
APPTEK_BANKING_0008,banking,banking,female,en-IE,606.499,10.11,True,data/processed/apptek_selected_domains/audio/APPTEK_BANKING_0008.wav
APPTEK_BANKING_0009,banking,banking,female,en-IE,799.471,13.32,True,data/processed/apptek_selected_domains/audio/APPTEK_BANKING_0009.wav
APPTEK_BANKING_0010,banking,banking,female,en-IE,799.471,13.32,True,data/processed/apptek_selected_domains/audio/APPTEK_BANKING_0010.wav
APPTEK_HEALTHCARE_0001,healthcare,health,male,en-IE,465.36,7.76,True,data/processed/apptek_selected_domains/audio/APPTEK_HEALTHCARE_0001.wav
APPTEK_HEALTHCARE_0002,healthcare,health,male,en-IE,465.36,7.76,True,data/processed/apptek_selected_domains/audio/APPTEK_HEALTHCARE_0002.wav
APPTEK_HEALTHCARE_0003,healthcare,health,male,en-IE,813.83,13.56,True,data/processed/apptek_selected_domains/audio/APPTEK_HEALTHCARE_0003.wav
APPTEK_HEALTHCARE_0004,healthcare,health,male,en-IE,813.83,13.56,True,data/processed/apptek_selected_domains/audio/APPTEK_HEALTHCARE_0004.wav
APPTEK_HEALTHCARE_0005,healthcare,health,female,en-IE,525.21,8.75,True,data/processed/apptek_selected_domains/audio/APPTEK_HEALTHCARE_0005.wav
APPTEK_HEALTHCARE_0006,healthcare,health,female,en-IE,525.209,8.75,True,data/processed/apptek_selected_domains/audio/APPTEK_HEALTHCARE_0006.wav
APPTEK_HEALTHCARE_0007,healthcare,health,female,en-IE,902.636,15.04,True,data/processed/apptek_selected_domains/audio/APPTEK_HEALTHCARE_0007.wav
APPTEK_HEALTHCARE_0008,healthcare,health,female,en-IE,902.636,15.04,True,data/processed/apptek_selected_domains/audio/APPTEK_HEALTHCARE_0008.wav
APPTEK_TELECOMMUNICATIONS_0001,telecommunications,telecom,male,en-IE,511.616,8.53,True,data/processed/apptek_selected_domains/audio/APPTEK_TELECOMMUNICATIONS_0001.wav
APPTEK_TELECOMMUNICATIONS_0002,telecommunications,telecom,male,en-IE,511.616,8.53,True,data/processed/apptek_selected_domains/audio/APPTEK_TELECOMMUNICATIONS_0002.wav
APPTEK_TELECOMMUNICATIONS_0003,telecommunications,telecom,male,en-IE,678.296,11.3,True,data/processed/apptek_selected_domains/audio/APPTEK_TELECOMMUNICATIONS_0003.wav
APPTEK_TELECOMMUNICATIONS_0004,telecommunications,telecom,male,en-IE,678.295,11.3,True,data/processed/apptek_selected_domains/audio/APPTEK_TELECOMMUNICATIONS_0004.wav
APPTEK_BANKING_0011,banking,banking,female,en-CN,367.998,6.13,True,data/processed/apptek_selected_domains/audio/APPTEK_BANKING_0011.wav
APPTEK_BANKING_0012,banking,banking,female,en-CN,367.999,6.13,True,data/processed/apptek_selected_domains/audio/APPTEK_BANKING_0012.wav
APPTEK_BANKING_0013,banking,banking,female,en-CN,568.484,9.47,True,data/processed/apptek_selected_domains/audio/APPTEK_BANKING_0013.wav
APPTEK_BANKING_0014,banking,banking,male,en-CN,568.483,9.47,True,data/processed/apptek_selected_domains/audio/APPTEK_BANKING_0014.wav
APPTEK_BANKING_0015,banking,banking,male,en-CN,437.387,7.29,True,data/processed/apptek_selected_domains/audio/APPTEK_BANKING_0015.wav
APPTEK_BANKING_0016,banking,banking,male,en-CN,437.387,7.29,True,data/processed/apptek_selected_domains/audio/APPTEK_BANKING_0016.wav
APPTEK_BANKING_0017,banking,banking,male,en-CN,393.071,6.55,True,data/processed/apptek_selected_domains/audio/APPTEK_BANKING_0017.wav
APPTEK_BANKING_0018,banking,banking,female,en-CN,393.071,6.55,True,data/processed/apptek_selected_domains/audio/APPTEK_BANKING_0018.wav
APPTEK_BANKING_0019,banking,banking,female,en-CN,518.679,8.64,True,data/processed/apptek_selected_domains/audio/APPTEK_BANKING_0019.wav
APPTEK_BANKING_0020,banking,banking,female,en-CN,518.679,8.64,True,data/processed/apptek_selected_domains/audio/APPTEK_BANKING_0020.wav
APPTEK_BANKING_0021,banking,banking,female,en-CN,776.732,12.95,True,data/processed/apptek_selected_domains/audio/APPTEK_BANKING_0021.wav
APPTEK_BANKING_0022,banking,banking,male,en-CN,776.775,12.95,True,data/processed/apptek_selected_domains/audio/APPTEK_BANKING_0022.wav
APPTEK_HEALTHCARE_0009,healthcare,health,female,en-CN,399.483,6.66,True,data/processed/apptek_selected_domains/audio/APPTEK_HEALTHCARE_0009.wav
APPTEK_HEALTHCARE_0010,healthcare,health,female,en-CN,399.483,6.66,True,data/processed/apptek_selected_domains/audio/APPTEK_HEALTHCARE_0010.wav
APPTEK_HEALTHCARE_0011,healthcare,health,female,en-CN,453.417,7.56,True,data/processed/apptek_selected_domains/audio/APPTEK_HEALTHCARE_0011.wav
APPTEK_HEALTHCARE_0012,healthcare,health,female,en-CN,453.418,7.56,True,data/processed/apptek_selected_domains/audio/APPTEK_HEALTHCARE_0012.wav
APPTEK_HEALTHCARE_0013,healthcare,health,male,en-CN,519.861,8.66,True,data/processed/apptek_selected_domains/audio/APPTEK_HEALTHCARE_0013.wav
APPTEK_HEALTHCARE_0014,healthcare,health,female,en-CN,519.861,8.66,True,data/processed/apptek_selected_domains/audio/APPTEK_HEALTHCARE_0014.wav
APPTEK_HEALTHCARE_0015,healthcare,health,male,en-CN,413.979,6.9,True,data/processed/apptek_selected_domains/audio/APPTEK_HEALTHCARE_0015.wav
APPTEK_HEALTHCARE_0016,healthcare,health,male,en-CN,413.979,6.9,True,data/processed/apptek_selected_domains/audio/APPTEK_HEALTHCARE_0016.wav
APPTEK_HEALTHCARE_0017,healthcare,health,female,en-CN,287.798,4.8,False,data/processed/apptek_selected_domains/audio/APPTEK_HEALTHCARE_0017.wav
APPTEK_HEALTHCARE_0018,healthcare,health,male,en-CN,287.798,4.8,False,data/processed/apptek_selected_domains/audio/APPTEK_HEALTHCARE_0018.wav
APPTEK_HEALTHCARE_0019,healthcare,health,female,en-CN,667.531,11.13,True,data/processed/apptek_selected_domains/audio/APPTEK_HEALTHCARE_0019.wav
APPTEK_HEALTHCARE_0020,healthcare,health,female,en-CN,667.531,11.13,True,data/processed/apptek_selected_domains/audio/APPTEK_HEALTHCARE_0020.wav
APPTEK_TELECOMMUNICATIONS_0005,telecommunications,telecom,female,en-CN,695.878,11.6,True,data/processed/apptek_selected_domains/audio/APPTEK_TELECOMMUNICATIONS_0005.wav
APPTEK_TELECOMMUNICATIONS_0006,telecommunications,telecom,female,en-CN,695.878,11.6,True,data/processed/apptek_selected_domains/audio/APPTEK_TELECOMMUNICATIONS_0006.wav
APPTEK_TELECOMMUNICATIONS_0007,telecommunications,telecom,male,en-CN,537.648,8.96,True,data/processed/apptek_selected_domains/audio/APPTEK_TELECOMMUNICATIONS_0007.wav
APPTEK_TELECOMMUNICATIONS_0008,telecommunications,telecom,female,en-CN,537.648,8.96,True,data/processed/apptek_selected_domains/audio/APPTEK_TELECOMMUNICATIONS_0008.wav
APPTEK_TELECOMMUNICATIONS_0009,telecommunications,telecom,male,en-CN,394.291,6.57,True,data/processed/apptek_selected_domains/audio/APPTEK_TELECOMMUNICATIONS_0009.wav
APPTEK_TELECOMMUNICATIONS_0010,telecommunications,telecom,male,en-CN,394.291,6.57,True,data/processed/apptek_selected_domains/audio/APPTEK_TELECOMMUNICATIONS_0010.wav
APPTEK_BANKING_0023,banking,banking,female,en-IN,624.48,10.41,True,data/processed/apptek_selected_domains/audio/APPTEK_BANKING_0023.wav
APPTEK_BANKING_0024,banking,banking,male,en-IN,624.48,10.41,True,data/processed/apptek_selected_domains/audio/APPTEK_BANKING_0024.wav
APPTEK_BANKING_0025,banking,banking,female,en-IN,617.12,10.29,True,data/processed/apptek_selected_domains/audio/APPTEK_BANKING_0025.wav
APPTEK_BANKING_0026,banking,banking,male,en-IN,617.12,10.29,True,data/processed/apptek_selected_domains/audio/APPTEK_BANKING_0026.wav
APPTEK_BANKING_0027,banking,banking,female,en-IN,603.264,10.05,True,data/processed/apptek_selected_domains/audio/APPTEK_BANKING_0027.wav
APPTEK_BANKING_0028,banking,banking,male,en-IN,603.264,10.05,True,data/processed/apptek_selected_domains/audio/APPTEK_BANKING_0028.wav
APPTEK_BANKING_0029,banking,banking,female,en-IN,581.696,9.69,True,data/processed/apptek_selected_domains/audio/APPTEK_BANKING_0029.wav
APPTEK_BANKING_0030,banking,banking,male,en-IN,581.696,9.69,True,data/processed/apptek_selected_domains/audio/APPTEK_BANKING_0030.wav
APPTEK_BANKING_0031,banking,banking,female,en-IN,587.232,9.79,True,data/processed/apptek_selected_domains/audio/APPTEK_BANKING_0031.wav
APPTEK_BANKING_0032,banking,banking,male,en-IN,587.232,9.79,True,data/processed/apptek_selected_domains/audio/APPTEK_BANKING_0032.wav
APPTEK_BANKING_0033,banking,banking,female,en-IN,584.512,9.74,True,data/processed/apptek_selected_domains/audio/APPTEK_BANKING_0033.wav
APPTEK_BANKING_0034,banking,banking,male,en-IN,584.512,9.74,True,data/processed/apptek_selected_domains/audio/APPTEK_BANKING_0034.wav
APPTEK_HEALTHCARE_0021,healthcare,health,female,en-IN,422.187,7.04,True,data/processed/apptek_selected_domains/audio/APPTEK_HEALTHCARE_0021.wav
APPTEK_HEALTHCARE_0022,healthcare,health,female,en-IN,422.208,7.04,True,data/processed/apptek_selected_domains/audio/APPTEK_HEALTHCARE_0022.wav
APPTEK_TELECOMMUNICATIONS_0011,telecommunications,telecom,female,en-IN,631.712,10.53,True,data/processed/apptek_selected_domains/audio/APPTEK_TELECOMMUNICATIONS_0011.wav
APPTEK_TELECOMMUNICATIONS_0012,telecommunications,telecom,male,en-IN,631.712,10.53,True,data/processed/apptek_selected_domains/audio/APPTEK_TELECOMMUNICATIONS_0012.wav
APPTEK_TELECOMMUNICATIONS_0013,telecommunications,telecom,female,en-IN,646.176,10.77,True,data/processed/apptek_selected_domains/audio/APPTEK_TELECOMMUNICATIONS_0013.wav
APPTEK_TELECOMMUNICATIONS_0014,telecommunications,telecom,male,en-IN,646.176,10.77,True,data/processed/apptek_selected_domains/audio/APPTEK_TELECOMMUNICATIONS_0014.wav
APPTEK_TELECOMMUNICATIONS_0015,telecommunications,telecom,female,en-IN,619.744,10.33,True,data/processed/apptek_selected_domains/audio/APPTEK_TELECOMMUNICATIONS_0015.wav
APPTEK_TELECOMMUNICATIONS_0016,telecommunications,telecom,male,en-IN,619.744,10.33,True,data/processed/apptek_selected_domains/audio/APPTEK_TELECOMMUNICATIONS_0016.wav
APPTEK_TELECOMMUNICATIONS_0017,telecommunications,telecom,female,en-IN,607.584,10.13,True,data/processed/apptek_selected_domains/audio/APPTEK_TELECOMMUNICATIONS_0017.wav
APPTEK_TELECOMMUNICATIONS_0018,telecommunications,telecom,unknown,en-IN,607.584,10.13,True,data/processed/apptek_selected_domains/audio/APPTEK_TELECOMMUNICATIONS_0018.wav
APPTEK_TELECOMMUNICATIONS_0019,telecommunications,telecom,female,en-IN,604.672,10.08,True,data/processed/apptek_selected_domains/audio/APPTEK_TELECOMMUNICATIONS_0019.wav
APPTEK_TELECOMMUNICATIONS_0020,telecommunications,telecom,male,en-IN,604.672,10.08,True,data/processed/apptek_selected_domains/audio/APPTEK_TELECOMMUNICATIONS_0020.wav
APPTEK_TELECOMMUNICATIONS_0021,telecommunications,telecom,female,en-IN,629.344,10.49,True,data/processed/apptek_selected_domains/audio/APPTEK_TELECOMMUNICATIONS_0021.wav
APPTEK_TELECOMMUNICATIONS_0022,telecommunications,telecom,unknown,en-IN,629.344,10.49,True,data/processed/apptek_selected_domains/audio/APPTEK_TELECOMMUNICATIONS_0022.wav
APPTEK_BANKING_0035,banking,banking,female,en-CA,650.702,10.85,True,data/processed/apptek_selected_domains/audio/APPTEK_BANKING_0035.wav
APPTEK_BANKING_0036,banking,banking,male,en-CA,650.702,10.85,True,data/processed/apptek_selected_domains/audio/APPTEK_BANKING_0036.wav
APPTEK_BANKING_0037,banking,banking,female,en-CA,573.007,9.55,True,data/processed/apptek_selected_domains/audio/APPTEK_BANKING_0037.wav
APPTEK_BANKING_0038,banking,banking,male,en-CA,573.008,9.55,True,data/processed/apptek_selected_domains/audio/APPTEK_BANKING_0038.wav
APPTEK_BANKING_0039,banking,banking,female,en-CA,548.0,9.13,True,data/processed/apptek_selected_domains/audio/APPTEK_BANKING_0039.wav
APPTEK_BANKING_0040,banking,banking,female,en-CA,548.0,9.13,True,data/processed/apptek_selected_domains/audio/APPTEK_BANKING_0040.wav
APPTEK_BANKING_0041,banking,banking,male,en-CA,646.568,10.78,True,data/processed/apptek_selected_domains/audio/APPTEK_BANKING_0041.wav
APPTEK_BANKING_0042,banking,banking,female,en-CA,646.568,10.78,True,data/processed/apptek_selected_domains/audio/APPTEK_BANKING_0042.wav
APPTEK_HEALTHCARE_0023,healthcare,health,female,en-CA,589.888,9.83,True,data/processed/apptek_selected_domains/audio/APPTEK_HEALTHCARE_0023.wav
APPTEK_HEALTHCARE_0024,healthcare,health,male,en-CA,589.888,9.83,True,data/processed/apptek_selected_domains/audio/APPTEK_HEALTHCARE_0024.wav
APPTEK_HEALTHCARE_0025,healthcare,health,female,en-CA,564.787,9.41,True,data/processed/apptek_selected_domains/audio/APPTEK_HEALTHCARE_0025.wav
APPTEK_HEALTHCARE_0026,healthcare,health,male,en-CA,564.787,9.41,True,data/processed/apptek_selected_domains/audio/APPTEK_HEALTHCARE_0026.wav
APPTEK_HEALTHCARE_0027,healthcare,health,female,en-CA,855.354,14.26,True,data/processed/apptek_selected_domains/audio/APPTEK_HEALTHCARE_0027.wav
APPTEK_HEALTHCARE_0028,healthcare,health,female,en-CA,855.353,14.26,True,data/processed/apptek_selected_domains/audio/APPTEK_HEALTHCARE_0028.wav
APPTEK_TELECOMMUNICATIONS_0023,telecommunications,telecom,unknown,en-CA,613.285,10.22,True,data/processed/apptek_selected_domains/audio/APPTEK_TELECOMMUNICATIONS_0023.wav
APPTEK_TELECOMMUNICATIONS_0024,telecommunications,telecom,female,en-CA,613.286,10.22,True,data/processed/apptek_selected_domains/audio/APPTEK_TELECOMMUNICATIONS_0024.wav
APPTEK_TELECOMMUNICATIONS_0025,telecommunications,telecom,female,en-CA,855.0,14.25,True,data/processed/apptek_selected_domains/audio/APPTEK_TELECOMMUNICATIONS_0025.wav
APPTEK_TELECOMMUNICATIONS_0026,telecommunications,telecom,female,en-CA,855.0,14.25,True,data/processed/apptek_selected_domains/audio/APPTEK_TELECOMMUNICATIONS_0026.wav
APPTEK_BANKING_0043,banking,banking,female,en-GB_WLS,356.106,5.94,True,data/processed/apptek_selected_domains/audio/APPTEK_BANKING_0043.wav
APPTEK_BANKING_0044,banking,banking,male,en-GB_WLS,356.105,5.94,True,data/processed/apptek_selected_domains/audio/APPTEK_BANKING_0044.wav
APPTEK_BANKING_0045,banking,banking,female,en-GB_WLS,678.265,11.3,True,data/processed/apptek_selected_domains/audio/APPTEK_BANKING_0045.wav
APPTEK_BANKING_0046,banking,banking,male,en-GB_WLS,678.265,11.3,True,data/processed/apptek_selected_domains/audio/APPTEK_BANKING_0046.wav
