call_id,source_apptek_id,analysis_mode,model_version,overall_audio_sentiment,dominant_emotion,audio_escalation_score,max_escalation_score,risk_level,confidence_level,total_segments,successful_segments,peak_segment_id,peak_segment_speaker,peak_start_time_seconds,peak_end_time_seconds,peak_emotion,peak_sentiment,peak_escalation_score
APPTEK_BANKING_0035_0036,en_CA_Banking_1586889,timestamped_segments,model_v5_cremad_ravdess_freeze6_epochs5_lr1e5,Positive,happy,0.186927,0.385763,Low,High,154,110,CUSTOMER_028,customer,295.47,303.51,disgust,Negative,0.3857632313932118
APPTEK_BANKING_0035_0036,en_CA_Banking_1586889,timestamped_segments,model_v5_cremad_ravdess_freeze6_epochs5_lr1e5,Positive,happy,0.192279,0.410658,Low,High,152,105,AGENT_067,agent,489.46,492.16,fear,Negative,0.41065783302590714
APPTEK_BANKING_0035_0036,en_CA_Banking_1586889,timestamped_segments,model_v5_cremad_ravdess_freeze6_epochs5_lr1e5,Positive,happy,0.192279,0.410658,Low,High,152,105,AGENT_067,agent,489.46,492.16,fear,Negative,0.41065783302590714
APPTEK_BANKING_0037_0038,en_CA_Banking_1588683,timestamped_segments,model_v5_cremad_ravdess_freeze6_epochs5_lr1e5,Positive,happy,0.230075,0.659603,Medium,High,120,97,CUSTOMER_003,customer,43.84,49.2,anger,Negative,0.6596032168284
APPTEK_BANKING_0039_0040,en_CA_Banking_1590992,timestamped_segments,model_v5_cremad_ravdess_freeze6_epochs5_lr1e5,Positive,happy,0.201468,0.586612,Medium,High,192,116,CUSTOMER_041,customer,429.36,430.58,anger,Negative,0.5866116237656388
APPTEK_BANKING_0041_0042,en_CA_Banking_1592237,timestamped_segments,model_v5_cremad_ravdess_freeze6_epochs5_lr1e5,Positive,happy,0.30998,0.694077,Medium,High,96,91,AGENT_022,agent,185.45,189.99,anger,Negative,0.6940772631220897
APPTEK_BANKING_0069_0070,en_US_General_Banking_1584540,timestamped_segments,model_v5_cremad_ravdess_freeze6_epochs5_lr1e5,Positive,happy,0.314404,0.695753,Medium,High,106,82,CUSTOMER_032,customer,483.78,490.27,anger,Negative,0.6957529767612869
APPTEK_BANKING_0071_0072,en_US_General_Banking_1586157,timestamped_segments,model_v5_cremad_ravdess_freeze6_epochs5_lr1e5,Neutral,neutral,0.157695,0.352204,Low,High,136,93,CUSTOMER_023,customer,241.07,247.49,neutral,Neutral,0.3522044570276193
APPTEK_BANKING_0073_0074,en_US_General_Banking_1586678,timestamped_segments,model_v5_cremad_ravdess_freeze6_epochs5_lr1e5,Neutral,neutral,0.248641,0.688994,Medium,High,87,69,AGENT_037,agent,353.76,360.12,anger,Negative,0.6889939809290808
APPTEK_BANKING_0075_0076,en_US_General_Banking_1586893,timestamped_segments,model_v5_cremad_ravdess_freeze6_epochs5_lr1e5,Neutral,neutral,0.222063,0.634368,Medium,High,194,122,AGENT_062,agent,390.9,396.22,anger,Negative,0.63436826017758
APPTEK_BANKING_0077_0078,en_US_General_Banking_1587139,timestamped_segments,model_v5_cremad_ravdess_freeze6_epochs5_lr1e5,Neutral,neutral,0.197981,0.535318,Medium,High,218,130,CUSTOMER_064,customer,470.65,473.13,anger,Negative,0.5353175549444859
APPTEK_BANKING_0079_0080,en_US_General_Banking_1587700,timestamped_segments,model_v5_cremad_ravdess_freeze6_epochs5_lr1e5,Negative,neutral,0.270101,0.692645,Medium,High,159,124,AGENT_085,agent,718.39,728.46,anger,Negative,0.6926449683669489
APPTEK_HEALTHCARE_0023_0024,en_CA_Health_1587315,timestamped_segments,model_v5_cremad_ravdess_freeze6_epochs5_lr1e5,Positive,happy,0.228971,0.648977,Medium,High,148,96,AGENT_058,agent,345.48,349.46,anger,Negative,0.6489766193161631
APPTEK_HEALTHCARE_0025_0026,en_CA_Health_1588706,timestamped_segments,model_v5_cremad_ravdess_freeze6_epochs5_lr1e5,Negative,happy,0.235354,0.592011,Medium,High,116,77,CUSTOMER_009,customer,103.32,109.04,anger,Negative,0.5920114926001406
APPTEK_HEALTHCARE_0027_0028,en_CA_Health_1590851,timestamped_segments,model_v5_cremad_ravdess_freeze6_epochs5_lr1e5,Positive,happy,0.290791,0.720038,High,High,159,125,CUSTOMER_023,customer,197.3,204.22,anger,Negative,0.7200377334020959
APPTEK_HEALTHCARE_0053_0054,en_US_General_Health_1586594,timestamped_segments,model_v5_cremad_ravdess_freeze6_epochs5_lr1e5,Neutral,neutral,0.267614,0.660497,Medium,High,81,51,CUSTOMER_008,customer,49.57,51.79,anger,Negative,0.6604967076193862
APPTEK_HEALTHCARE_0055_0056,en_US_General_Health_1586726,timestamped_segments,model_v5_cremad_ravdess_freeze6_epochs5_lr1e5,Neutral,neutral,0.252387,0.732366,High,High,103,72,AGENT_038,agent,294.24,308.29,anger,Negative,0.7323655426103869
APPTEK_HEALTHCARE_0057_0058,en_US_General_Health_1587175,timestamped_segments,model_v5_cremad_ravdess_freeze6_epochs5_lr1e5,Negative,sadness,0.231877,0.450763,Medium,High,158,96,CUSTOMER_015,customer,117.22,129.83,disgust,Negative,0.4507629867007199
APPTEK_HEALTHCARE_0059_0060,en_US_General_Health_1587922,timestamped_segments,model_v5_cremad_ravdess_freeze6_epochs5_lr1e5,Neutral,neutral,0.267562,0.623572,Medium,High,121,92,AGENT_049,agent,488.5,492.12,anger,Negative,0.6235722649697708
APPTEK_TELECOMMUNICATIONS_0023_0024,en_CA_Telecom_1590675,timestamped_segments,model_v5_cremad_ravdess_freeze6_epochs5_lr1e5,Positive,happy,0.289156,0.692706,Medium,High,104,94,AGENT_016,agent,156.13,162.45,anger,Negative,0.6927064767057163
APPTEK_TELECOMMUNICATIONS_0025_0026,en_CA_Telecom_1590992,timestamped_segments,model_v5_cremad_ravdess_freeze6_epochs5_lr1e5,Positive,happy,0.210834,0.647796,Medium,High,228,156,AGENT_099,agent,597.85,606.49,anger,Negative,0.6477964690424414
APPTEK_TELECOMMUNICATIONS_0047_0048,en_US_General_Telecom_1584567,timestamped_segments,model_v5_cremad_ravdess_freeze6_epochs5_lr1e5,Positive,happy,0.260434,0.713218,High,High,192,144,CUSTOMER_010,customer,176.5,181.5,anger,Negative,0.7132182292975631
APPTEK_TELECOMMUNICATIONS_0049_0050,en_US_General_Telecom_1586751,timestamped_segments,model_v5_cremad_ravdess_freeze6_epochs5_lr1e5,Negative,neutral,0.256622,0.655327,Medium,High,84,64,AGENT_031,agent,245.96,251.76,anger,Negative,0.6553272456120611
APPTEK_TELECOMMUNICATIONS_0051_0052,en_US_General_Telecom_1586891,timestamped_segments,model_v5_cremad_ravdess_freeze6_epochs5_lr1e5,Neutral,neutral,0.231469,0.625958,Medium,High,148,113,AGENT_076,agent,485.28,486.32,anger,Negative,0.6259584741547587
