source_call_id,domain,status,total_segments,successful_segments,returned_simple_segments,overall_audio_sentiment,dominant_emotion,audio_escalation_score,risk_level,simple_output_path
en_CA_Banking_1586889,banking,success,152,105,152,Positive,happy,0.192279,Low,outputs/apptek/simple_sentiment_results/banking/en_CA_Banking_1586889_simple_sentiment.json
en_CA_Banking_1588683,banking,success,120,97,120,Positive,happy,0.230075,Medium,outputs/apptek/simple_sentiment_results/banking/en_CA_Banking_1588683_simple_sentiment.json
en_CA_Banking_1590992,banking,success,192,116,192,Positive,happy,0.201468,Medium,outputs/apptek/simple_sentiment_results/banking/en_CA_Banking_1590992_simple_sentiment.json
en_CA_Banking_1592237,banking,success,96,91,96,Positive,happy,0.30998,Medium,outputs/apptek/simple_sentiment_results/banking/en_CA_Banking_1592237_simple_sentiment.json
en_US_General_Banking_1584540,banking,success,106,82,106,Positive,happy,0.314404,Medium,outputs/apptek/simple_sentiment_results/banking/en_US_General_Banking_1584540_simple_sentiment.json
en_US_General_Banking_1586157,banking,success,136,93,136,Neutral,neutral,0.157695,Low,outputs/apptek/simple_sentiment_results/banking/en_US_General_Banking_1586157_simple_sentiment.json
en_US_General_Banking_1586678,banking,success,87,69,87,Neutral,neutral,0.248641,Medium,outputs/apptek/simple_sentiment_results/banking/en_US_General_Banking_1586678_simple_sentiment.json
en_US_General_Banking_1586893,banking,success,194,122,194,Neutral,neutral,0.222063,Medium,outputs/apptek/simple_sentiment_results/banking/en_US_General_Banking_1586893_simple_sentiment.json
en_US_General_Banking_1587139,banking,success,218,130,218,Neutral,neutral,0.197981,Medium,outputs/apptek/simple_sentiment_results/banking/en_US_General_Banking_1587139_simple_sentiment.json
en_US_General_Banking_1587700,banking,success,159,124,159,Negative,neutral,0.270101,Medium,outputs/apptek/simple_sentiment_results/banking/en_US_General_Banking_1587700_simple_sentiment.json
en_CA_Health_1587315,health,success,148,96,148,Positive,happy,0.228971,Medium,outputs/apptek/simple_sentiment_results/health/en_CA_Health_1587315_simple_sentiment.json
en_CA_Health_1588706,health,success,116,77,116,Negative,happy,0.235354,Medium,outputs/apptek/simple_sentiment_results/health/en_CA_Health_1588706_simple_sentiment.json
en_CA_Health_1590851,health,success,159,125,159,Positive,happy,0.290791,High,outputs/apptek/simple_sentiment_results/health/en_CA_Health_1590851_simple_sentiment.json
en_US_General_Health_1586594,health,success,81,51,81,Neutral,neutral,0.267614,Medium,outputs/apptek/simple_sentiment_results/health/en_US_General_Health_1586594_simple_sentiment.json
en_US_General_Health_1586726,health,success,103,72,103,Neutral,neutral,0.252387,High,outputs/apptek/simple_sentiment_results/health/en_US_General_Health_1586726_simple_sentiment.json
en_US_General_Health_1587175,health,success,158,96,158,Negative,sadness,0.231877,Medium,outputs/apptek/simple_sentiment_results/health/en_US_General_Health_1587175_simple_sentiment.json
en_US_General_Health_1587922,health,success,121,92,121,Neutral,neutral,0.267562,Medium,outputs/apptek/simple_sentiment_results/health/en_US_General_Health_1587922_simple_sentiment.json
en_CA_Telecom_1590675,telecom,success,104,94,104,Positive,happy,0.289156,Medium,outputs/apptek/simple_sentiment_results/telecom/en_CA_Telecom_1590675_simple_sentiment.json
en_CA_Telecom_1590992,telecom,success,228,156,228,Positive,happy,0.210834,Medium,outputs/apptek/simple_sentiment_results/telecom/en_CA_Telecom_1590992_simple_sentiment.json
en_US_General_Telecom_1584567,telecom,success,192,144,192,Positive,happy,0.260434,High,outputs/apptek/simple_sentiment_results/telecom/en_US_General_Telecom_1584567_simple_sentiment.json
en_US_General_Telecom_1586751,telecom,success,84,64,84,Negative,neutral,0.256622,Medium,outputs/apptek/simple_sentiment_results/telecom/en_US_General_Telecom_1586751_simple_sentiment.json
en_US_General_Telecom_1586891,telecom,success,148,113,148,Neutral,neutral,0.231469,Medium,outputs/apptek/simple_sentiment_results/telecom/en_US_General_Telecom_1586891_simple_sentiment.json
